method,n_train,combo,pos_mean,pos_max,rot_mean,rot_max,pass
KFold_Sweep,5,"(5, 10, 12, 16, 20)",0.42862344941234404,1.3212326827386496,0.5158618183268824,0.8889016459635765,True
KFold_Sweep,5,"(14, 16, 26, 27, 28)",0.47882845039983285,1.1328179169726993,0.4787939026348677,0.9855676001892562,True
KFold_Sweep,5,"(5, 11, 16, 22, 26)",0.33154457625776257,0.84786136754537,0.4995481661189389,0.9136593802324159,True
KFold_Sweep,5,"(6, 12, 16, 21, 28)",0.75222840912475,1.9564644565376887,0.46283151776250736,0.8493072024232018,True
KFold_Sweep,5,"(4, 10, 18, 20, 22)",0.4277295577647084,1.090782213291232,0.5238952703083594,0.8177998627971281,True
KFold_Sweep,5,"(0, 1, 21, 26, 29)",0.39646878464191604,0.8160070766362838,0.47466296027435995,1.154399958840726,True
KFold_Sweep,5,"(1, 7, 11, 26, 29)",0.7263382737202219,1.5297863792848618,0.4294431991665005,0.9165324320425038,True
KFold_Sweep,5,"(6, 7, 11, 27, 28)",0.6581252706626356,1.9900099210672646,0.5043100067336295,0.9383171827186108,True
KFold_Sweep,5,"(3, 8, 13, 18, 19)",0.8400994379704112,2.6569869029956306,0.5075585911709768,0.8988777416301322,True
KFold_Sweep,5,"(3, 6, 21, 23, 28)",0.7424348590007142,1.6664339478040089,0.513685210082022,0.9524967072982613,True
KFold_Sweep,5,"(4, 8, 9, 20, 22)",0.49954258247307837,1.3423614190372553,0.5724810876137482,1.0676860813219848,True
KFold_Sweep,5,"(6, 10, 19, 26, 29)",0.36192994023737113,0.84356839754753,0.552704397785353,1.0738257307302537,True
KFold_Sweep,5,"(14, 15, 25, 26, 28)",0.5904314372990023,1.2627368984043104,0.4323248469152473,1.0464081550262498,True
KFold_Sweep,5,"(3, 13, 15, 18, 28)",0.4478716856216955,1.15420962515792,0.44140578300798783,0.9458224399149835,True
KFold_Sweep,6,"(2, 7, 9, 13, 15, 27)",0.3883650112204047,0.8492500901191233,0.49829187328156327,0.9323772020989508,True
KFold_Sweep,6,"(3, 7, 9, 21, 23, 27)",0.3914245966178777,0.7914664269589421,0.5009385672955219,0.9414408879074877,True
KFold_Sweep,6,"(2, 4, 5, 6, 15, 22)",0.36146435828243995,0.9327272290926104,0.652160754704014,1.0364961194525293,True
KFold_Sweep,6,"(0, 6, 13, 14, 17, 21)",0.3829203407231206,0.9690076249669256,0.500673451924371,1.1504358063525968,True
KFold_Sweep,6,"(4, 12, 18, 20, 25, 27)",0.43309840242510117,0.8864679418237158,0.47195117245524226,0.9598436042553729,True
KFold_Sweep,6,"(3, 8, 12, 27, 28, 29)",0.5123430857635956,1.3772463757985491,0.49938905866270306,0.9327092331154534,True
KFold_Sweep,6,"(12, 19, 21, 25, 27, 28)",0.5891192046387351,1.7940696950157369,0.5101262320390221,1.0486923489699969,True
KFold_Sweep,6,"(0, 1, 2, 8, 23, 29)",0.5308059115212661,1.0844024139356851,0.4547194104154987,1.024949193249571,True
KFold_Sweep,6,"(0, 7, 14, 18, 23, 26)",0.37191994087818564,1.1595110753004976,0.4428530872366517,1.0548767635684344,True
KFold_Sweep,6,"(9, 20, 22, 26, 27, 28)",0.5840449155276848,1.629988132629716,0.5618011751249659,1.1278630186094065,True
KFold_Sweep,6,"(0, 6, 9, 12, 13, 27)",0.3954328172497405,0.9449803333508621,0.4864053481827883,0.886698682085436,True
KFold_Sweep,6,"(10, 12, 14, 20, 21, 22)",0.37929253352952025,0.9694262133096568,0.4629499592228685,1.0743332947424424,True
KFold_Sweep,6,"(0, 6, 8, 24, 26, 27)",0.4292234792296406,1.0925127058621575,0.48603193160498875,0.8842207739733409,True
KFold_Sweep,6,"(3, 12, 16, 24, 25, 26)",0.38920942954597987,0.9686037148220294,0.44910197081663605,1.0746842894267787,True
KFold_Sweep,6,"(13, 18, 19, 21, 23, 28)",0.6620126697489416,2.3085417311491905,0.47459550675156625,1.1370552393507587,True
KFold_Sweep,6,"(2, 5, 7, 9, 12, 21)",0.332744536992711,0.5941931860632758,0.5612567831521298,1.0405570119419028,True
KFold_Sweep,6,"(1, 5, 7, 11, 23, 29)",0.40667938251809127,0.8073653572966063,0.5101619295269824,0.8982739601550337,True
KFold_Sweep,6,"(0, 3, 6, 11, 19, 28)",0.32956914047653413,0.7844964154966273,0.4836712689268176,0.8859337882434547,True
KFold_Sweep,6,"(5, 8, 14, 19, 23, 26)",0.30766084460450244,0.761672654969482,0.49921550328011105,0.9463804788631569,True
KFold_Sweep,6,"(5, 6, 14, 15, 16, 24)",0.40666411987394196,0.9936203845986623,0.4493864150914833,0.8111876028239104,True
KFold_Sweep,6,"(4, 7, 10, 17, 22, 27)",0.36460262223789897,0.977070886193438,0.576685961461695,1.1084669160522338,True
KFold_Sweep,6,"(7, 12, 14, 24, 26, 27)",0.4778984619936495,1.2179353550687062,0.4422737111207972,0.9551213939842848,True
KFold_Sweep,6,"(2, 4, 17, 23, 24, 27)",0.3353277120018227,0.8777010229443271,0.4832195770625222,0.9614032993852887,True
KFold_Sweep,6,"(0, 8, 11, 17, 23, 29)",0.3766875847473779,1.1042606595062527,0.45012050260387465,1.0430129920431994,True
KFold_Sweep,6,"(3, 4, 7, 14, 27, 29)",0.7030751754594922,1.9039549064103785,0.48208563231947504,0.8289676791518692,True
KFold_Sweep,6,"(0, 2, 14, 16, 25, 26)",0.6398531404867589,2.3094321113532885,0.4979264797589549,1.229669830602994,True
KFold_Sweep,6,"(0, 15, 22, 26, 27, 28)",0.4278429338496625,1.5181382286869813,0.4976393398502462,1.0649378027376817,True
KFold_Sweep,6,"(6, 10, 15, 20, 23, 27)",0.31272265172020464,0.6838886424277976,0.5154495078669753,0.9700047247184018,True
KFold_Sweep,6,"(3, 10, 13, 15, 16, 19)",0.43308548410269204,1.1525352780924158,0.46694672133935694,0.9506702936658763,True
KFold_Sweep,6,"(3, 4, 9, 11, 17, 25)",0.42659077545041757,1.2219284299583189,0.5145168536242781,0.8473077945387082,True
KFold_Sweep,6,"(0, 3, 6, 10, 18, 28)",0.37166522230445315,0.8494949227243366,0.5142092970980843,0.8438800468252172,True
